1 2 69.07 2 6 9 2 8 7 3.5 3.5 3.6 1.2 1.5 36.58 49.37 . 87.32 . . .
2 2 77.2 2 3 9 2 6 8 3.33 3.5 4 1 1.25 50.82 83.5 . 155.63 185.22 192.7 206.63
3 2 64.1 2 9 6 1 5 7 2 2.25 2.6 2.8 2 40.68 40.41 . . . . .
4 1 65.93 2 6 6 2 2 6 2 2 2 3 2.75 34.72 42.06 . 85.32 151.64 . .
5 2 74.53 2 6 9 2 7 7 3.33 3.5 3.6 2 1.25 38.28 50.4 . 87.74 150.18 . .
6 1 63 2 8 8 2 6 6 2.17 2.5 2.6 2.2 2 32.57 34.14 . 55.64 153.59 . .
7 1 63.6 2 6 5 1 6 2 2.17 2 2.2 2.8 2.25 31.98 32.84 . 59.83 106.11 163.71 163.26
8 2 72.57 2 8 9 1 8 8 3.67 4 4 1.2 1.25 50.45 64.13 . . . . 204.1
9 1 67.73 2 5 3 1 6 5 1.83 3 2.75 1.6 1.75 32.49 38.52 . 73.21 95.48 . .
10 2 70.63 2 7 8 3 6 7 2.83 3.25 3.2 1.2 2.75 33.3 36.72 . 70.18 149.05 165.66 195.97
11 2 72.47 2 7 5 2 7 4 4 2.75 2.4 2.2 2 65.92 84.61 . 127.92 188.61 . .
12 1 68.53 2 8 9 1 9 5 3.33 2.5 2.6 2 2.25 62.43 99.43 . 125.74 150.71 . .
13 1 62.63 2 5 5 1 6 7 2 2 2.2 3.2 2 34.2 39.87 . 101.55 157.13 . .
14 1 64.1 2 9 6 2 7 3 2 2 2.2 3.8 3 38.8 . . . . . .
17 2 65.4 2 6 6 1 5 6 2.83 3.5 3.4 1.6 1.5 43.01 46.24 . 66.48 130.39 164.54 188.26
21 2 70.87 2 4 4 1 7 3 1.5 1.5 2 3.6 2.25 27.81 39.6 . 71.11 109.04 144.37 168.52
24 1 63 2 3 3 2 6 2 3.33 3.5 3 1 1.5 26.85 33.15 . 49.24 114.14 159.64 .
27 1 73.4 2 3 3 3 2 4 1.83 2 1.8 3 1.75 27.46 29.66 . 46.71 . . .
31 2 68.17 2 5 4 1 5 3 2.83 2.75 2.8 1.4 1.25 38.71 47.36 . 65.94 128.9 149.07 201.19
36 1 68.3 2 5 3 1 6 4 2.67 2.5 2.6 1.6 1.25 28.97 38.83 . 57.85 . . .
37 2 66.5 2 3 3 1 6 3 3 3.5 3.6 1 1.5 30.01 40.1 . 68.2 106.51 138.2 146.42
65 1 63.67 2 6 6 1 6 4 3.17 3.5 3.4 1.6 1.75 40.55 49.72 . 66.19 115.63 154.11 157.65
67 1 72.1 2 3 5 2 6 5 3.17 3.75 3.4 1.6 1.5 37.23 50.27 . 105.91 148.85 167.71 .
73 1 62.03 2 3 2 2 3 1 2.5 3 3 1 1 26.99 34.75 . 48.53 107.72 127.17 187.34
74 2 66.27 2 5 3 1 8 8 3 2.75 2.6 1 1 31.25 37.32 . 58.14 126.06 145.17 193.43
75 1 71.87 2 3 3 4 3 7 3.33 3 3.2 1 1 29.04 37.43 . 50.99 . . .
79 2 65.6 2 3 3 2 5 8 4 4 4 1 1 39.51 47.28 . 95.29 132.62 166.9 188.16
88 1 74.97 2 5 5 1 8 6 3.33 2.75 3 2 1.5 35.01 45.07 . 62 . . .
90 2 67.53 2 6 8 1 1 8 2.67 2.5 3 1.8 1 41.68 48.01 . 66.78 . . .
91 1 66.43 2 5 7 1 6 8 3 2.5 2.4 2 1.25 75.86 109.48 . 126.15 173.2 174.3 191.23
93 2 64.83 2 6 8 2 7 6 3.5 3.5 3.6 1.2 1.25 38.18 49.94 . 74.97 148.15 174.98 195.29
94 2 62.5 2 3 3 1 5 4 2.83 2.75 3 2 1.75 34.73 37.56 . 52.03 . . .
95 1 71.9 2 6 6 1 4 6 3 3.25 3 2 1.75 36.11 41.02 . 64.12 124.63 169.74 201.08
96 2 64.47 2 3 3 1 3 4 3 3 3.4 1.4 1.5 40.23 38.65 . 66.17 136.35 142.21 147.71
97 1 68.9 2 7 4 2 6 4 2.17 2.5 2.4 1.8 1.75 25.63 35.37 . 60.01 112.67 166.97 198.09
100 1 64.63 2 9 9 2 9 7 2.83 2.75 3 1.8 2 49.61 57.05 . 124.81 191.23 . .
102 2 64.27 2 3 3 2 7 3 3 3 3 2 1.25 29.47 42.85 . 86.92 170.16 182.46 .
103 1 66.03 2 3 5 2 5 5 2.5 3 3 1.6 1.25 27.63 30.04 . 41.37 121.5 133.84 .
104 2 64.87 2 6 9 1 8 6 2.83 3 3 1.6 1.5 51.52 86.53 . 126.85 177.93 181.97 205.78
105 1 72.5 2 6 8 1 9 6 3.5 3.5 3.4 1.6 1 49.48 58.05 . 97.16 127.54 165.45 194.01
108 2 63.13 2 6 6 2 8 5 3.67 3.75 4 1 1.25 39.14 49.3 . 101.05 . . .
110 1 64.53 2 6 3 4 7 5 3.33 3.25 3.4 1.4 1.25 33.56 46.94 . 106.36 148.87 181.45 182.73
113 1 64.7 2 3 3 1 5 6 2.5 3.25 3.6 1 1.25 25.95 27.95 . 67.47 105.52 . 118.03
114 2 69.1 2 8 4 2 3 2 2.83 3.5 3.6 1.4 1.25 38.5 39.28 . 61.17 120.05 148.08 183.01
115 1 74.1 2 1 3 1 2 6 2.17 3.25 2.8 1.2 1 30.91 43.1 . 68.32 . . .
116 2 69.77 1 4 3 1 4 6 3 3 3.2 1 1 29.94 43.29 . 53.8 109.12 154.15 165.05
117 2 65.47 2 4 3 2 2 8 2.33 3 3 1.2 1.25 29.44 36.59 . 51.98 91.68 129.08 144.49
118 2 61.53 2 3 3 2 3 6 2.33 3 2.8 1.2 1 27.56 31.75 . 64.85 126.67 167.37 193.96
119 2 63.33 2 3 5 1 4 4 1.83 2.5 2.6 1.6 1 37.8 42.03 . 72.57 144.4 . .
120 1 63.43 2 3 3 1 5 3 3.5 4 3.8 1 1.5 32.96 48.19 . 78.07 109.78 140.34 174.75
122 1 72.8 2 5 5 2 8 7 3.33 3.75 3 2.2 1 32.24 42.22 . 66.94 102.43 . .
123 2 67.87 2 5 3 1 7 8 4 4 4 1 1 35.12 42.01 . 76.26 128.41 163.65 161.48
124 2 69.5 2 3 3 1 8 6 3.67 2.75 2.2 1.6 2 34.51 42.83 . 63.37 124.76 136.69 173.35
125 1 65.57 2 3 3 1 2 4 3.83 4 3.8 1 1 29.6 39.5 . . . . .
129 1 64.03 2 5 3 4 0 1 1.83 2.5 2.2 2.2 2 22.23 26.3 . 44.19 68.83 . .
130 2 62.57 2 4 3 2 3 4 2.17 3 3.8 1.4 1.25 27.89 30.48 . 48.08 96.81 120.02 163.2
132 1 66.87 2 6 6 2 7 6 4 4 3.8 1 1 48.56 60.56 . 115.2 145.33 . .
133 1 73.17 2 3 3 1 5 4 3.17 3.5 3.6 1 2 27.09 30.04 . 67.59 104.8 126.85 166.56
134 2 64.67 2 3 3 1 3 5 2.17 3 3.2 1 1.25 25.05 33.69 . 79.17 . . .
135 2 69.1 2 8 4 2 3 0 2.67 2.75 3 1.2 1 32.86 34.98 . 56.73 86.63 114.67 139.8
